Ride,Date/Time,Wait Time
TRON Lightcycle / Run,2023-03-21 11:08:27,45
TRON Lightcycle / Run,2023-03-21 11:10:16,47
TRON Lightcycle / Run,2023-03-21 11:14:27,47
TRON Lightcycle / Run,2023-03-21 11:15:16,48
TRON Lightcycle / Run,2023-03-21 11:18:26,48
TRON Lightcycle / Run,2023-03-21 11:20:16,49
TRON Lightcycle / Run,2023-03-21 11:23:26,49
TRON Lightcycle / Run,2023-03-21 11:25:16,50
TRON Lightcycle / Run,2023-03-21 11:28:26,51
TRON Lightcycle / Run,2023-03-21 11:30:16,52
TRON Lightcycle / Run,2023-03-21 11:33:26,53
TRON Lightcycle / Run,2023-03-21 11:35:16,53
TRON Lightcycle / Run,2023-03-21 11:38:26,54
TRON Lightcycle / Run,2023-03-21 11:40:17,54
TRON Lightcycle / Run,2023-03-21 11:43:26,55
TRON Lightcycle / Run,2023-03-21 11:45:16,55
TRON Lightcycle / Run,2023-03-21 11:48:26,57
TRON Lightcycle / Run,2023-03-21 11:50:16,58
TRON Lightcycle / Run,2023-03-21 11:53:26,58
TRON Lightcycle / Run,2023-03-21 11:55:16,59
TRON Lightcycle / Run,2023-03-21 11:58:26,59
TRON Lightcycle / Run,2023-03-21 12:00:16,60
TRON Lightcycle / Run,2023-03-21 12:03:26,60
TRON Lightcycle / Run,2023-03-21 12:05:16,61
TRON Lightcycle / Run,2023-03-21 12:08:27,61
TRON Lightcycle / Run,2023-03-21 12:10:17,62
TRON Lightcycle / Run,2023-03-21 12:14:26,62
TRON Lightcycle / Run,2023-03-21 12:15:16,63
TRON Lightcycle / Run,2023-03-21 12:18:26,63
TRON Lightcycle / Run,2023-03-21 12:20:17,63
TRON Lightcycle / Run,2023-03-21 12:23:26,63
TRON Lightcycle / Run,2023-03-21 12:25:16,63
TRON Lightcycle / Run,2023-03-21 12:28:26,64
TRON Lightcycle / Run,2023-03-21 12:30:16,64
TRON Lightcycle / Run,2023-03-21 12:33:26,64
TRON Lightcycle / Run,2023-03-21 12:35:17,64
TRON Lightcycle / Run,2023-03-21 12:38:26,64
TRON Lightcycle / Run,2023-03-21 12:40:16,65
TRON Lightcycle / Run,2023-03-21 12:43:26,65
TRON Lightcycle / Run,2023-03-21 12:45:17,65
TRON Lightcycle / Run,2023-03-21 12:48:27,65
TRON Lightcycle / Run,2023-03-21 12:50:17,66
TRON Lightcycle / Run,2023-03-21 12:53:26,66
TRON Lightcycle / Run,2023-03-21 12:55:16,66
TRON Lightcycle / Run,2023-03-21 12:58:26,66
TRON Lightcycle / Run,2023-03-21 13:00:17,66
TRON Lightcycle / Run,2023-03-21 13:03:26,67
TRON Lightcycle / Run,2023-03-21 13:05:16,67
TRON Lightcycle / Run,2023-03-21 13:08:26,67
TRON Lightcycle / Run,2023-03-21 13:10:16,68
TRON Lightcycle / Run,2023-03-21 13:14:26,68
TRON Lightcycle / Run,2023-03-21 13:15:16,69
TRON Lightcycle / Run,2023-03-21 13:18:26,69
TRON Lightcycle / Run,2023-03-21 13:20:16,70
TRON Lightcycle / Run,2023-03-21 13:23:26,70
TRON Lightcycle / Run,2023-03-21 13:25:17,70
TRON Lightcycle / Run,2023-03-21 13:28:26,71
TRON Lightcycle / Run,2023-03-21 13:30:16,71
TRON Lightcycle / Run,2023-03-21 13:33:26,72
TRON Lightcycle / Run,2023-03-21 13:35:16,72
TRON Lightcycle / Run,2023-03-21 13:38:27,72
TRON Lightcycle / Run,2023-03-21 13:40:16,73
TRON Lightcycle / Run,2023-03-21 13:43:26,73
TRON Lightcycle / Run,2023-03-21 13:45:17,74
TRON Lightcycle / Run,2023-03-21 13:48:26,75
TRON Lightcycle / Run,2023-03-21 13:50:16,75
TRON Lightcycle / Run,2023-03-21 13:53:26,76
TRON Lightcycle / Run,2023-03-21 13:55:16,76
TRON Lightcycle / Run,2023-03-21 13:58:26,77
TRON Lightcycle / Run,2023-03-21 14:00:17,77
TRON Lightcycle / Run,2023-03-21 14:03:26,78
TRON Lightcycle / Run,2023-03-21 14:05:16,78
TRON Lightcycle / Run,2023-03-21 14:08:26,79
TRON Lightcycle / Run,2023-03-21 14:10:16,81
TRON Lightcycle / Run,2023-03-21 14:14:26,81
TRON Lightcycle / Run,2023-03-21 14:15:16,82
TRON Lightcycle / Run,2023-03-21 14:18:27,82
TRON Lightcycle / Run,2023-03-21 14:20:17,83
TRON Lightcycle / Run,2023-03-21 14:23:26,83
TRON Lightcycle / Run,2023-03-21 14:25:16,84
TRON Lightcycle / Run,2023-03-21 14:28:26,85
TRON Lightcycle / Run,2023-03-21 14:30:16,85
TRON Lightcycle / Run,2023-03-21 14:33:26,86
TRON Lightcycle / Run,2023-03-21 14:35:17,87
TRON Lightcycle / Run,2023-03-21 14:38:26,87
TRON Lightcycle / Run,2023-03-21 14:40:16,88
TRON Lightcycle / Run,2023-03-21 14:43:26,89
TRON Lightcycle / Run,2023-03-21 14:45:17,89
TRON Lightcycle / Run,2023-03-21 14:48:26,90
TRON Lightcycle / Run,2023-03-21 14:50:17,90
TRON Lightcycle / Run,2023-03-21 14:53:27,91
TRON Lightcycle / Run,2023-03-21 14:55:16,92
TRON Lightcycle / Run,2023-03-21 14:58:26,92
TRON Lightcycle / Run,2023-03-21 15:00:16,93
TRON Lightcycle / Run,2023-03-21 15:03:27,94
TRON Lightcycle / Run,2023-03-21 15:05:17,94
TRON Lightcycle / Run,2023-03-21 15:08:26,95
TRON Lightcycle / Run,2023-03-21 15:10:16,95
TRON Lightcycle / Run,2023-03-21 15:14:26,96
TRON Lightcycle / Run,2023-03-21 15:15:16,97
TRON Lightcycle / Run,2023-03-21 15:18:26,97
TRON Lightcycle / Run,2023-03-21 15:20:16,98
TRON Lightcycle / Run,2023-03-21 15:23:26,98
TRON Lightcycle / Run,2023-03-21 15:25:16,99
TRON Lightcycle / Run,2023-03-21 15:28:26,100
TRON Lightcycle / Run,2023-03-21 15:30:16,100
TRON Lightcycle / Run,2023-03-21 15:33:27,101
TRON Lightcycle / Run,2023-03-21 15:35:16,102
TRON Lightcycle / Run,2023-03-21 15:38:26,102
TRON Lightcycle / Run,2023-03-21 15:40:16,103
TRON Lightcycle / Run,2023-03-21 15:43:26,104
TRON Lightcycle / Run,2023-03-21 15:45:17,104
TRON Lightcycle / Run,2023-03-21 15:48:26,105
TRON Lightcycle / Run,2023-03-21 15:50:16,106
TRON Lightcycle / Run,2023-03-21 15:53:26,107
TRON Lightcycle / Run,2023-03-21 15:55:17,108
TRON Lightcycle / Run,2023-03-21 15:58:27,109
TRON Lightcycle / Run,2023-03-21 16:00:16,110
TRON Lightcycle / Run,2023-03-21 16:03:26,110
TRON Lightcycle / Run,2023-03-21 16:05:17,111
TRON Lightcycle / Run,2023-03-21 16:08:26,112
TRON Lightcycle / Run,2023-03-21 16:10:17,113
TRON Lightcycle / Run,2023-03-21 16:14:26,114
TRON Lightcycle / Run,2023-03-21 16:15:16,115
TRON Lightcycle / Run,2023-03-21 16:18:26,115
TRON Lightcycle / Run,2023-03-21 16:20:16,116
TRON Lightcycle / Run,2023-03-21 16:23:26,117
TRON Lightcycle / Run,2023-03-21 16:25:16,118
TRON Lightcycle / Run,2023-03-21 16:28:26,119
TRON Lightcycle / Run,2023-03-21 16:30:16,120
TRON Lightcycle / Run,2023-03-21 16:33:26,120
TRON Lightcycle / Run,2023-03-21 16:35:16,121
